id,evaluated_activity_id,course_id,weight,type_Q1,type_Q2,type_Q3,sous_course_ids,teachers_ids
1,1bach1T,1bach10,100,E écrit,E écrit,E écrit,CH1C-L1-2022; CH1C-T1-2022; CH1C-X1-2022,hnt; b5w; crd; dhn; spr
2,1baci1D,1baci10,100,E écrit,E écrit,E écrit,CI1C-L1-2022; CI1C-T1-2022; CI1C-X1-2022,bjt; aif; chv; mol; thn
3,1baem1C,1baem10,40,,E écrit,E écrit,EM1C-L1-2021; EM1C-T2-2016; EM1C-X2-2018,mol; chv
4,1baom1C,1baem10,60,,E écrit,E écrit,EM1C-T1-2016; EM1C-X1-2016,hil; jsz; mj5
5,1baic1L,1baic10,60,,C évaluation continue,,IC1L-L1-2016; IC1L-L2-2016; IC1L-L3-2016; IC1L-L4-2025; IC1L-L5-2025,nth; bch; bcq; crt; glh; kis; mat; otj
6,1baic1T,1baic10,25,,E écrit,E écrit,IC1T-T1-2015; IC1T-X1-2024,lur
7,1bala1T,1baic10,15,,E écrit,E écrit,LA1T-T1,stv
8,1bamc1C,1bamc10,100,,E écrit,E écrit,MC1C-T1-2016; MC1C-X1-2016,jsz; dhn; hil
9,1bamd1C,1bamd10,90,,E écrit,E écrit,MD1C-T1-2016; MD1C-T3-2016; MD1C-T4-2016; MD1C-X1-2016,dhn; frn; r5g
10,1bamd1L,1bamd10,10,,C évaluation continue,,MD1C-L1-2016,dhn; crd; jsz; mj5; r5g
11,1bame1C,1bame10,100,E écrit,E écrit,E écrit,ME1C-B1-2024; ME1C-T1-2022; ME1C-X1-2022,sbr; jfd; mj5; thn
12,1bacm1C,1bamm10,60,,E écrit,E écrit,CM1C-T1-2015; CM1C-X1-2015; CM1L-L1-2015,spr; crd; hnt
13,1bamc1T,1bamm10,20,,E écrit,E écrit,MC1T-T1-2015,sts
14,1bamm1T,1bamm10,20,,E écrit,E écrit,MM1T-T1-2015,bch
15,1baph1C,1baph10,80,E écrit,E écrit,E écrit,CP1C-T1-2022; CP1C-X1-2022,jsz; dhn; mj5; r5g
16,1baph1L,1baph10,20,C évaluation continue,,,CP1L-L3-2022,jsz; crd; dhn; r5g
17,1bapi1B,1bapi10,100,,C évaluation continue,,PI1B-B1-2016; PI1B-B2-2024; PI1B-B3-2024,sbr; bcq; crt; jfd; mlt; rch
18,1bapm1D,1bapm10,50,E écrit,E écrit,E écrit,PM1C-T1-2025; PM1C-X1-2025,ngy; hil
19,1bapm1E,1bapm10,50,E écrit,E écrit,E écrit,PM1C-T2-2025; PM1C-X2-2025,hil; mj5; ngy; r5g
20,1bast1C,1bast10,100,E écrit,E écrit,E écrit,ST1C-T2-2015; ST1C-X2-2016,vdd; mj5; r5g
21,1bate1C,1bate10,100,E écrit,E écrit,E écrit,TC1C-L1-2018; TC1C-L2-2021; TC1C-T1-2018; TC1C-X1-2021; TE1T-T1-2016; TE1T-T2-2016; TE1T-T3-2016; TE1T-X1-2021; TM1L-L1-2019; TM1T-T1-2015,fle; crt; hnr; mar; sts
22,2bach2C,2bach20,40,E écrit,,E écrit,CH2C-T1-2024; CH2C-X1-2016,b5w
23,2bach2D,2bach20,40,,E écrit,E écrit,CH2C-T2-2024; CH2C-X2-2023,b5w
24,2bach2L,2bach20,20,,C évaluation continue,,CH2L-L1-2016; CH2L-L2-2025,b5w; crd; hnt; spr
25,2badt2L,2badt20,100,C évaluation continue,,,DT2L-L1-2018,kis; bcq; d4d; crt; j4b; mj5; nth
26,2baci2C,2bael20,50,,E écrit,E écrit,EL2C-L1-2019; EL2C-T1-2016; EL2C-X1-2015,bjt; dfr; mol; thn
27,2baem2C,2bael20,50,E écrit,,E écrit,EL2C-L2-2021; EL2C-T2-2021; EL2C-X2_2021,mol; thn
28,2baeo2T,2baeo20,100,E écrit,,E écrit,EO2L-L2-2018; EO2T-T1-2016; EO2T-T2-2018; EO2T-X1-2019,dfr; fle
29,2bain2C,2bain20,100,C évaluation continue,,E écrit,IN2L-L1-2017; IN2T-T1-2015,lur; fky; lrg; mar; mlt; ngy
30,2bala2T,2bala20,100,,E écrit,E écrit,LA2T-T1-2020; LA2T-T2-2025,stv; r6j
31,2bamf2C,2bamf20,75,,E écrit,E écrit,MF2C-T1-2015,bri-3
32,2bamf2L,2bamf20,25,,C évaluation continue,,MF2L-L1-2016,brg; nth; pch; vdd
33,2baom2c,2baom20,25,E écrit,,E écrit,OM2C-T1-2016; OM2C-X2-2016,crd; jsz; r5g
34,2baop2C,2baom20,50,,E écrit,E écrit,OP2C-T1-2016; OP2C-X1-2016,crd; jsz; r5g
35,2baot2C,2baom20,25,E écrit,,E écrit,OT2C-T1-2016; OT2C-X1-2016,dhn; jsz; r5g
36,2baph2C,2baph20,75,E écrit,,E écrit,PH2C-T1-2015; PH2C-X1-2015,dhn; crd; jsz
37,2baph2L,2baph20,25,C évaluation continue,,,PH2L-L1-2016,dhn; crd; jsz; r5g
38,2barm2C,2barm20,40,E écrit,,E écrit,RM2C-T1-2016; RM2C-X1-2017,vlo; ran; sts
39,2barm2D,2barm20,40,,E écrit,E écrit,RM2C-T2-2021; RM2C-X2-2021,vlo; ran; sts
40,2barm2L,2barm20,20,,C évaluation continue,,RM2L-L1-2016; RM2L-L2-2017,sts; ran; vlo
41,2bath2C,2bath20,75,E écrit,,E écrit,TH2C-T1-2015; TH2C-X1-2015,brg; pch; vdd
42,2bath2L,2bath20,25,C évaluation continue,,,TH2L-L1-2017,pch; brg; ir4; vdd
43,2batm2C,2batm20,100,,E écrit,E écrit,TM2L-L1-2016; TM2T-T1-2016; TM2X-X1-2023,thn; mol
44,2bmpm2B,2bmpm20,100,,T écrit + évaluation continue,E écrit,PM2B-L1-2017; PM2B-L2; PM2B-L3; PM2B-L4; PM2B-T1,mrf
45,2bmte2C,2bmto20,33.3,,E écrit,E écrit,TE2C-L1-2022; TE2C-T1-2016,aif
46,2bmto2T,2bmto20,33.3,,E écrit,E écrit,TO2T-T1-2016,bch
47,2bmtr2C,2bmto20,33.3,,E écrit,E écrit,TR2C-T1-2016; TR2C-X1-2016,vlo; sts
48,3babm3T,3base30,25,D écrit + oral,,,EN3T-T1-2022,mlt
49,3base3C,3base30,75,,E écrit,E écrit,SE3C-T1-2015,j5d
50,3basg3X,3basg30,100,,C évaluation continue,,SG3B-B1,lah
51,3bmpm3B,3bmcp30,50,F écrit + oral + évaluation continue,,,PM3B-B0-2025; PM3B-B1-2024; PM3B-B3-2024; PM3B-B5-2024; PM3B-B6-2024; PM3B-B7-2024; PM3B-B8-2024; PM3B-B9-2024,bcq; crt; glh; kis; mrf; nth; otj
52,3bmpm3C,3bmcp30,50,E écrit,,E écrit,PM3B-B2-2024; PM3B-B4-2024,bcq; crt; glh; kis; mrf; nth; otj
53,3bmcv3B,3bmcv30,40,F écrit + oral + évaluation continue,,E écrit,CV3B-B1-2016; CV3B-T1-2019; CV3B-T3-2019,dgy; brg; g4z; pch
54,3bmcv3C,3bmcv30,40,,T écrit + évaluation continue,E écrit,CV3B-B2-2023; CV3B-T2-2019; CV3B-T4-2019; CV3B-T5-2023,dgy; brg; g4z; vdd
55,3bmcv3L,3bmcv30,20,C évaluation continue,,,CV3L-L1-2015,brg; d4d; pch
56,3bmea3C,3bmea30,50,,E écrit,E écrit,EA3C-L2-2019; EA3C-L3-2024; EA3C-T2-2016; EA3C-X2-2019,kpr; mol
57,3bmemt3T,3bmea30,50,E écrit,,E écrit,EA3C-L1-2019; EA3C-T1-2016; EA3C-X1-2019,mol
58,3bmel3C,3bmel30,100,,T écrit + évaluation continue,E écrit,AE3T-L1-2015; EL3T-T1-2017; EL3X-X1-2024,dlh-2
59,3bmet3B,3bmet30,50,C évaluation continue,,,ET3B-B1-2018; ET3B-B2-2023,bjt; chv; thn
60,3bmet3T,3bmet30,50,E écrit,,E écrit,ET3T-T1-2019; ET3T-X1-2025,bjt; thn
61,3bmrp3L,3bmis30,35,,C évaluation continue,,RP3L-L1-2016; RP3L-L2-2023,aif; bjt; j2r; mol; p2g; thn
62,3bmrp3T,3bmis30,65,E écrit,,E écrit,RP3T-T1-2018,p2g; j2r
63,3bmra3C,3bmra30,75,E écrit,,E écrit,RA3L-L2-2019; RA3T-T1-2016,dbr; aif; mol; thn
64,3bmra3L,3bmra30,25,E écrit,,E écrit,RA3L-L1-2016; RA3L-L3-2023,l2e; aif; mol
65,3bmrg3L,3bmrg30,30,,C évaluation continue,,RG3L-L1-2016,mus; aif; bjt
66,3bmrg3T,3bmrg30,70,O oral,,O oral,RG3T-T1-2016; RG3T-X1-2016,rch
